match_id;status;DURASI;hero_1;hero_2;hero_3;hero_4;hero_5;R1;R2;R3;R4;R5;L1;L2;L3;L4;L5;K;D;A;NET;GPM;XPM;DMG;HEAL;BLD;WARDS_KUNING;WARDS_BIRU;IH1_1;IH1_2;IH1_3;IH1_4;IH1_5;IH1_6;IH1_7;IH2_1;IH2_2;IH2_3;IH2_4;IH2_5;IH2_6;IH2_7;IH3_1;IH3_2;IH3_3;IH3_4;IH3_5;IH3_6;IH3_7;IH4_1;IH4_2;IH4_3;IH4_4;IH4_5;IH4_6;IH4_7;IH5_1;IH5_2;IH5_3;IH5_4;IH5_5;IH5_6;IH5_7
6816712704;W;00:39:08;28;74;128;114;89;Core;Core;Support;Core;Support;Top;Middle;Bottom;Bottom;Top;30;12;73;95800;2600;3400;111200;10200;25700;18;21;1;116;143;65;63;112;834;48;1;96;116;110;235;289;29;187;218;36;185;79;676;63;160;168;116;143;598;1077;29;1;0;0;908;30;574
6816712704;L;00:39:08;58;11;108;19;75;Support;Core;Core;Core;Support;Jungle;Top;Bottom;Middle;Roaming;12;31;33;62500;1900;2200;77300;4800;7100;18;35;102;63;36;21;236;218;574;172;263;116;63;141;75;376;116;908;596;36;9;50;949;63;1;149;108;252;36;381;185;180;102;188;36;218;676
6808030636;W;00:42:16;5;88;9;135;11;Support;Support;Core;Core;Core;Bottom;Top;Top;Bottom;Middle;39;12;102;102200;2700;3700;129500;4900;29200;20;35;37;29;43;232;36;1;949;100;108;1;36;214;188;289;63;116;123;1466;30;596;362;569;1;116;168;50;112;358;249;604;116;263;117;123;288
6808030636;L;00:42:16;114;35;61;66;10;Support;Core;Core;Support;Core;Bottom;Middle;Bottom;Jungle;Top;19;39;55;66100;2000;2600;82200;13200;6700;20;38;250;36;0;40;75;0;834;172;63;149;263;116;485;949;908;9;36;180;210;40;574;188;86;79;102;0;29;676;596;63;147;108;160;116;311
6807892967;W;00:29:07;85;123;19;129;14;Support;Support;Core;Core;Core;Bottom;Roaming;Middle;Top;Bottom;31;6;66;67100;2500;3000;66300;6200;17900;15;28;43;265;36;180;81;188;212;231;254;0;218;36;92;306;63;252;1;152;36;116;828;1;116;168;596;30;50;331;116;1;50;108;31;125;358
6807892967;L;00:29:07;58;41;78;17;136;Support;Core;Core;Core;Support;Top;Top;Bottom;Middle;Bottom;6;31;15;41500;1600;1800;38900;3300;2700;14;26;102;63;36;0;17;188;349;65;63;116;11;166;34;381;178;908;214;36;11;0;358;63;116;40;41;534;36;361;265;36;188;116;50;218;1077
6809815986;W;00:32:29;87;136;72;23;61;Support;Support;Core;Core;Core;Top;Bottom;Bottom;Middle;Top;29;13;80;72900;2500;3100;77000;10900;29600;14;28;0;180;0;108;36;0;990;50;116;43;36;244;40;828;141;116;156;108;63;75;381;73;24;50;112;116;73;949;96;75;180;908;90;596;309
6809815986;L;00:32:29;64;25;106;33;88;Support;Core;Core;Core;Support;Top;Middle;Top;Bototm;Bottom;13;30;25;48900;1800;2100;77500;1500;2700;16;30;180;79;36;218;244;188;577;16;141;41;63;188;116;288;149;166;116;596;50;36;361;20;232;29;36;0;908;358;214;36;1;43;188;244;675
6807772753;L;00:41:35;123;136;22;85;48;Support;Core;Core;Support;Core;Top;Top;Middle;Bottom;Bottom;17;27;40;68100;2000;2500;112200;4300;2300;19;37;102;36;1;40;218;214;949;50;226;36;116;73;143;309;48;116;1;36;273;232;289;36;218;254;40;29;244;834;152;147;116;263;63;160;288
6807772753;W;00:41:35;68;113;52;89;88;Support;Core;Core;Core;Support;Bottom;Middle;top;Bottom;Top;27;17;64;101400;2700;3200;119700;963;14300;19;36;180;102;34;218;31;244;290;1;96;1466;48;108;235;362;96;116;1;121;48;176;311;108;90;63;908;36;223;574;214;102;1;43;30;36;676
